Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
234,101.5254935,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
234.02,101.5231483,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
234.47,101.9456248,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
234.48,101.9547858,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
235.65,101.0662373,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
236.04,101.2919813,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
236.82,100.6592221,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
238.75,100.1818071,23/10/2015,GPS,GPS,,,,,GPS,,1,1
241.32,99.5701339,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
242.1,99.24606163,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
242.29,99.35924068,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
243.61,99.33888501,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
243.63,99.28355129,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
243.71,99.06913163,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
